town,population,male_population,female_population,population_2006,male_population_2006,female_population_2006,district,subdistrict,municipality,lat,lon,gm_id
Turunçlu,261,132,129,245,124,121,Gazimağusa,Akdoğan,Vadili,35.1685234,33.6483471,ChIJEWTnjUc33hQRg1nJjH_Xyy0
Geçi̇tkale,1253,635,618,1269,622,647,Gazimağusa,Geçitkale,Geçitkale,35.2687373,33.7405967,ChIJzyALMLpL3hQRN2dyl-_Omes
Çamlıca,100,50,50,95,47,48,Gazimağusa,Geçitkale,Geçitkale,35.2796929,33.69029,ChIJs_o8XkZJ3hQR6jIyWSux4y4
Çınarlı,183,90,93,185,91,94,Gazimağusa,Geçitkale,Geçitkale,35.3329597,33.7685332,ChIJS2khqQpN3hQR0eDHZNaY1vM
Mallıdağ,182,93,89,189,96,93,Gazimağusa,Geçitkale,Geçitkale,35.3346195,33.7014716,ChIJpSAkQYpO3hQR_mw-aZlPcyU
Nergi̇sli̇,279,148,131,293,150,143,Gazimağusa,Geçitkale,Geçitkale,35.2114584,33.69029,ChIJY8VhkfxJ3hQR3TtQUo1M-Y8
Sütlüce,291,143,148,349,173,176,Gazimağusa,Geçitkale,Geçitkale,35.2407082,33.69029,ChIJX8-_p59J3hQRTt4P10BII_U
Yamaçköy,92,39,53,80,33,47,Gazimağusa,Geçitkale,Geçitkale,35.3221764,33.679107,ChIJI2lXk_FO3hQRe_DeHtHqp8E
Serdarlı,1055,511,544,1041,496,545,Gazimağusa,Geçitkale,Serdarlı,35.2555267,33.6119814,ChIJ-1FV-PBH3hQR3ig5I4IhXBw
Ergenekon,96,54,42,96,52,44,Gazimağusa,Geçitkale,Serdarlı,35.2980352,33.6007892,ChIJo-bEGxdG3hQRCtb46LGO9zA
Gönendere,389,187,202,394,193,201,Gazimağusa,Geçitkale,Serdarlı,35.2707409,33.6567371,ChIJUbtao_9I3hQRGQZYKPBGAHQ
Görneç,507,234,273,515,243,272,Gazimağusa,Geçitkale,Serdarlı,35.275795,33.5784007,ChIJyYc73gdH3hQRfmMT5CinGZM
Pınarlı,167,86,81,202,101,101,Gazimağusa,Geçitkale,Serdarlı,35.2317425,33.6567371,ChIJOy2AVzlI3hQRAjxOiqnAn5s
Ti̇rmen,197,106,91,184,106,78,Gazimağusa,Geçitkale,Serdarlı,35.3034905,33.6455502,ChIJ5-lxn7NI3hQRAPfDuw7QuFI
Küçükerenköy,339,168,171,257,187,70,Gazimağusa,Geçitkale,Tatlısu,35.3630139,33.6682723,ChIJASOqhDZO3hQRLBc-qDsiiEI
