town,population,male_population,female_population,population_2006,male_population_2006,female_population_2006,district,subdistrict,municipality,lat,lon,gm_id,greek_name,lat_g,lon_g
Aşağı Karaman,675,346,329,565,312,253,Girne,Girne,Girne,,,,,,
Beylerbeyi̇,918,476,442,934,503,431,Girne,Girne,Girne,35.3065054,33.353218,ChIJFRSYOaEU3hQRgym5F_XZnto,Μπέλαπαϊς,35.2968734,33.3542258
Doğanköy,868,429,439,457,245,212,Girne,Girne,Girne,35.3256596,33.3344148,ChIJ2_cKfkwT3hQRPMWDanLRPCQ,Θέρμια,35.3241561,33.3331825
Edremi̇t,1268,794,474,651,362,289,Girne,Girne,Girne,35.3325405,33.2620671,ChIJZ09DMp4S3hQRd0ZOf_1ilTc,Τριμίθι,35.3346453,33.2559847
Karakum,722,390,332,299,184,115,Girne,Girne,Girne,35.3326865,33.3420667,ChIJjWF1a69s3hQRq9ClskzK_00,Καράκουμι,35.3337487,33.3416004
Karaoğlanoğlu,3745,1963,1782,2610,1551,1059,Girne,Girne,Girne,35.3424212,33.2716623,ChIJFTeHhbES3hQRDSlhDo94ZNo,'Αγιος Γεώργιος,35.3391989,33.2728331
Ozanköy,3070,1615,1455,2584,1441,1143,Girne,Girne,Girne,35.3188533,33.3544245,ChIJWQgBAqsU3hQRDGnebBrZxSQ,Καζάφανι,35.3261677,33.3542258
Zeyti̇nli̇k Köy,622,296,326,513,265,248,Girne,Girne,Girne,35.333,33.2915,ChIJwVvTLdAS3hQREGDVCh7-Py4,Τέμπλος,35.3290981,33.2896786
Ilgaz,72,36,36,75,48,27,Girne,Girne,Alsancak,35.3232543,33.2210123,ChIJwfPO3qkN3hQRRA7HzvR1NmY,Φτεριχα,35.3140157,33.2278976
İncesu,180,103,77,150,86,64,Girne,Girne,Alsancak,35.3351157,33.2073533,ChIJ2-_tevsM3hQRxLzz2YPxzAI,Μότιδες,35.3306518,33.2096366
Yeşi̇ltepe,750,454,296,290,147,143,Girne,Girne,Alsancak,35.3357308,33.2169914,ChIJQ37m3RwN3hQRXX8CJYlWe_0,Ελια,35.3442807,33.2208745
Arapköy,542,302,240,380,228,152,Girne,Girne,Çatalköy,35.3066986,33.4334742,ChIJ99aDMKZq3hQRBu8Ksl2TwCw,Κλεπίνη,35.2982601,33.4439588
Çatalköy,5110,2756,2354,3803,2147,1656,Girne,Girne,Çatalköy,35.3213447,33.3906576,ChIJA34q5CVr3hQRg5Hfzht5-RY,'Αγιος Επίκτητος,35.3153575,33.4047109
Ağırdağ,745,376,369,454,250,204,Girne,Girne,Dikmen,35.2970651,33.2666775,ChIJ67JSUnAS3hQRLQG8XhnW1cY,Αγίρδα,35.2871985,33.2672173
Akçi̇çek,79,45,34,87,45,42,Girne,Girne,Dikmen,35.2997562,33.1722989,ChIJq-MB6AEM3hQR-l97Vmwy_A4,Σύσκληπος,35.2938313,33.1745097
Aşağı Taşkent,290,148,142,264,134,130,Girne,Girne,Dikmen,35.2787133,33.3769904,ChIJ-9GNM_QU3hQRWfij39XCSdc,Σιχαρί,35.2738554,33.365447
Boğazköy,1943,1116,827,1297,782,515,Girne,Girne,Dikmen,35.2860748,33.2799058,ChIJX0_u6GkS3hQR-1XLGVP2Udo,Μπογάζι,35.291758,33.2840638
Dağyolu,525,258,267,525,267,258,Girne,Girne,Dikmen,35.2645645,33.2220905,ChIJyyZGv2cO3hQRMTIGUf-gq2E,Φώττα,35.250621,33.2194699
Göçeri̇,228,119,109,155,83,72,Girne,Girne,Dikmen,35.2896806,33.216143,ChIJh1pYrtUN3hQRacUjOhilL48,Πιλέρι,35.2834291,33.2082318
Güngör,124,68,56,140,100,40,Girne,Girne,Dikmen,35.2658497,33.4208571,ChIJ03YxSXQV3hQR4xFQB-gI_Ow,Κουτσοβέντης,35.2661915,33.4215334
Kömürcü,67,27,40,34,16,18,Girne,Girne,Dikmen,35.2931726,33.2566052,ChIJTQMTPfEN3hQRJTxZ743D5oQ,Κιόμουρτζιου,35.2857855,33.2559847
Pınarbaşı,483,236,247,484,237,247,Girne,Girne,Dikmen,35.2871477,33.2374567,ChIJSQMEM-YN3hQRS4wByo5E5SU,Κρηνί,35.2730184,33.2419422
