town,greek_name,turkish_name,population,male_population,female_population,district,roc_control,lat,lon,gm_id,is_dimos,population_2006,male_population_2006,female_population_2006,district_raw,subdistrict,municipality,lat_g,lon_g
Kato Koutrafas,Κάτω Κουτραφάς,Aşağı Kurtboğan,17,8,9,Lefkosia,True,35.1016736,32.9779895,ChIJr28khG1W5xQRAkzAltKTd3E,False,,,,Λευκωσίας,,,,
Potami,Ποτάμι,Potami,558,283,275,Lefkosia,True,35.1046562,33.028789,ChIJZysPEIdV5xQRPkTEx2yKsbo,False,,,,Λευκωσίας,,,,
Pano Zodeia,Πάνω Ζώδεια,Yukarı Bostancı,15,12,3,Lefkosia,True,35.1386371,32.9860159,ChIJMyeRpuj-3RQRDNZiowoWvBo,False,,,,Λευκωσίας,,,,
Akaki,Ακάκι,Akaki,3003,1494,1509,Lefkosia,True,35.1337357,33.1288417,ChIJW0sKzh4B3hQRVyWuYgO1WSw,False,,,,Λευκωσίας,,,,
Peristerona ,Περιστερώνα ,Peristerona,2226,1117,1109,Lefkosia,True,35.1305014,33.0798116,ChIJjzGq73sA3hQRbrdEi8WlTqQ,False,,,,Λευκωσίας,,,,
Astromeritis,Αστρομερίτης,Astromeritis,2307,1158,1149,Lefkosia,True,35.139698,33.0369494,ChIJuUOG2gn_3RQRn-GxowHTJbo,False,,,,Λευκωσίας,,,,
Meniko,Μένικο,Meniko,1023,511,512,Lefkosia,True,35.1112587,33.146156,ChIJ4w3urQoB3hQRA_E8SzZXQIY,False,,,,Λευκωσίας,,,,
Spilia,Σπήλια,Spilia,123,56,67,Lefkosia,True,34.9666909,32.9549718,ChIJUWHqgy9O5xQRZswvIfG3kc4,False,,,,Λευκωσίας,,,,
Agia Eirini ,Αγία Ειρήνη ,Agia Eirini,27,14,13,Lefkosia,True,34.9814562,32.9698159,ChIJ2b7_I-lR5xQR6wxdrjkwDoc,False,,,,Λευκωσίας,,,,
Kannavia,Καννάβια,Kannavia,129,59,70,Lefkosia,True,34.9830613,32.9771541,ChIJjTnO3-1R5xQRz9Zj7wdvyuE,False,,,,Λευκωσίας,,,,
Kakopetria,Κακοπετριά,Kakopetria,1274,603,671,Lefkosia,True,34.9899859,32.9036838,ChIJuQaiK1ZF5xQRkMfHz2omxLY,False,,,,Λευκωσίας,,,,
Agios Theodoros Soleas,Άγιος Θεόδωρος Σολέας,Ayios Theodoros Soleas,49,25,24,Lefkosia,True,35.042596,32.9284861,ChIJUX2KOcJQ5xQRb_-OHaE903Y,False,,,,Λευκωσίας,,,,
Galata,Γαλάτα,Galata,581,277,304,Lefkosia,True,34.997626,32.8986815,ChIJyWFmeQdQ5xQRo4JLfRSKhXM,False,,,,Λευκωσίας,,,,
Sinaoros,Σιναόρος,Sina Oros,228,119,109,Lefkosia,True,35.0099216,32.8981879,ChIJE_CLmwpQ5xQR773OpdQVmKs,False,,,,Λευκωσίας,,,,
Kaliana,Καλιάνα,Kaliana,200,92,108,Lefkosia,True,35.012206,32.8826138,ChIJRfyc47xa5xQRU8XmSMzP55E,False,,,,Λευκωσίας,,,,
Temvria,Τεμβριά,Temvria,498,230,268,Lefkosia,True,35.0280035,32.89178,ChIJWWRVJIRa5xQRIjUSkLucz7Y,False,,,,Λευκωσίας,,,,
Korakou,Κοράκου,Korakou,521,248,273,Lefkosia,True,35.0403045,32.8857482,ChIJ1Vx7xGRa5xQRaj9Dvt56CJ8,False,,,,Λευκωσίας,,,,
Eyrychou,Ευρύχου,Evrychou,827,385,442,Lefkosia,True,35.0427354,32.9012972,ChIJZXElz39a5xQRRreA3NlWhMs,False,,,,Λευκωσίας,,,,
Flasou,Φλάσου,Flasou,240,109,131,Lefkosia,True,35.060795,32.8874946,ChIJCVIeKxBa5xQRuDLz2UP16gs,False,,,,Λευκωσίας,,,,
Linou,Ληνού,Linou,161,67,94,Lefkosia,True,35.0729964,32.8919527,ChIJXQbXTwJa5xQRxwAM0eVZxmY,False,,,,Λευκωσίας,,,,
Katydata,Κατύδατα,Katydata,114,49,65,Lefkosia,True,35.0817895,32.8874154,ChIJ8_CKdPBZ5xQRQzAttTt1wD0,False,,,,Λευκωσίας,,,,
Skouriotissa ,Σκουριώτισσα ,Skouriotissa,11,4,7,Lefkosia,True,35.0916578,32.885038,ChIJlzIuT-hZ5xQRjlE67ME0T40,False,,,,Λευκωσίας,,,,
Pedoulas,Πεδουλάς,Pedoulas,132,67,65,Lefkosia,True,34.9686392,32.827564,ChIJRVsXN2dE5xQRf9DkiYNWhVg,False,,,,Λευκωσίας,,,,
Mylikouri,Μυλικούρι,Mylikouri,17,8,9,Lefkosia,True,34.9611506,32.7519984,ChIJq8Yw3yVC5xQRlv84elNpq1M,False,,,,Λευκωσίας,,,,
Moutoullas,Μουτουλλάς,Moutoullas,174,79,95,Lefkosia,True,34.983339,32.8245664,ChIJx3u4AZJE5xQRgZWMeLLl2C4,False,,,,Λευκωσίας,,,,
Oikos,Οίκος,Oikos,158,78,80,Lefkosia,True,35.0002913,32.8299929,ChIJoWP5gLhE5xQR2OhyINq3j5A,False,,,,Λευκωσίας,,,,
Kalopanagiotis,Καλοπαναγιώτης,Kalopanayiotis,263,123,140,Lefkosia,True,34.9916085,32.8282406,ChIJH5IitbRE5xQRx_EQ88Pb4yc,False,,,,Λευκωσίας,,,,
Gerakies,Γερακιές,Gerakies,75,27,48,Lefkosia,True,35.0003791,32.8051677,ChIJIeZSKV5D5xQR2Pt-N2n4wGc,False,,,,Λευκωσίας,,,,
Tsakistra,Τσακίστρα,Tsakistra,79,42,37,Lefkosia,True,35.0246263,32.7225721,ChIJ-Zqg8KFC5xQR7q6fHv0_2MI,False,,,,Λευκωσίας,,,,
Kampos,Κάμπος,Kampos,271,114,157,Lefkosia,True,35.0392022,32.7324144,ChIJ_fxPGbNC5xQRbzhxDfpTAY8,False,,,,Λευκωσίας,,,,
Pano Pyrgos,Πάνω Πύργος,Pano Pyrgos,22,11,11,Lefkosia,True,35.1556574,32.6829413,ChIJ--EZiedg5xQRiTqvxtHVpoA,False,,,,Λευκωσίας,,,,
