town,greek_name,turkish_name,population,male_population,female_population,district,roc_control,lat,lon,gm_id,is_dimos,population_2006,male_population_2006,female_population_2006,subdistrict,municipality,lat_g,lon_g
Skouriotissa ,Σκουριώτισσα ,Skouriotissa,11,4,7,Λευκωσίας,True,35.0916578,32.885038,ChIJlzIuT-hZ5xQRjlE67ME0T40,False,,,,,,,
Pedoulas,Πεδουλάς,Pedoulas,132,67,65,Λευκωσίας,True,34.9686392,32.827564,ChIJRVsXN2dE5xQRf9DkiYNWhVg,False,,,,,,,
Mylikouri,Μυλικούρι,Mylikouri,17,8,9,Λευκωσίας,True,34.9611506,32.7519984,ChIJq8Yw3yVC5xQRlv84elNpq1M,False,,,,,,,
Moutoullas,Μουτουλλάς,Moutoullas,174,79,95,Λευκωσίας,True,34.983339,32.8245664,ChIJx3u4AZJE5xQRgZWMeLLl2C4,False,,,,,,,
Oikos,Οίκος,Oikos,158,78,80,Λευκωσίας,True,35.0002913,32.8299929,ChIJoWP5gLhE5xQR2OhyINq3j5A,False,,,,,,,
Kalopanagiotis,Καλοπαναγιώτης,Kalopanayiotis,263,123,140,Λευκωσίας,True,34.9916085,32.8282406,ChIJH5IitbRE5xQRx_EQ88Pb4yc,False,,,,,,,
Gerakies,Γερακιές,Gerakies,75,27,48,Λευκωσίας,True,35.0003791,32.8051677,ChIJIeZSKV5D5xQR2Pt-N2n4wGc,False,,,,,,,
Tsakistra,Τσακίστρα,Tsakistra,79,42,37,Λευκωσίας,True,35.0246263,32.7225721,ChIJ-Zqg8KFC5xQR7q6fHv0_2MI,False,,,,,,,
Kampos,Κάμπος,Kampos,271,114,157,Λευκωσίας,True,35.0392022,32.7324144,ChIJ_fxPGbNC5xQRbzhxDfpTAY8,False,,,,,,,
Pano Pyrgos,Πάνω Πύργος,Pano Pyrgos,22,11,11,Λευκωσίας,True,35.1556574,32.6829413,ChIJ--EZiedg5xQRiTqvxtHVpoA,False,,,,,,,
Kato Pyrgos,Κάτω Πύργος,Kato Pyrgos,1036,516,520,Λευκωσίας,True,35.1813827,32.6856272,ChIJ-3ELgVpg5xQRkwqhdn7ExR4,False,,,,,,,
Pigenia,Πηγένια,Pigenia,107,52,55,Λευκωσίας,True,35.1710158,32.656798,ChIJs7J6ZRFh5xQRZCniW2vxMyo,False,,,,,,,
Pachyammos,Παχύαμμος,Pachyammos,70,35,35,Λευκωσίας,True,35.1707749,32.584818,ChIJJ8yTb4Jj5xQRmAr-KsUsIkk,False,,,,,,,
Mansoura,Μανσούρα,Mansoura,9,4,5,Λευκωσίας,True,35.1869582,32.6360673,ChIJl8UxD3hh5xQR1dx_ol1VE0Q,False,,,,,,,
Mosfili,Μοσφίλι,Mosfili,20,6,14,Λευκωσίας,True,35.1810885,32.6311244,ChIJQctit3xh5xQR1YeeAwdTagk,False,,,,,,,
Agia Napa,Αγία Νάπα,Ayia Napa,3212,1611,1601,Αμμοχώστου,True,34.9887366,34.0002782,ChIJWYKRp2jF3xQRQKqvnhksWJY,False,,,,,,,
Paralimni,Παραλίμνι,Paralimni,14963,7412,7551,Αμμοχώστου,True,35.0375882,33.9814728,ChIJN6Wo-2vE3xQR3F9Dv19dyqc,False,,,,,,,
Deryneia,Δερύνεια,Derinköy,5844,2914,2930,Αμμοχώστου,True,35.062854,33.960628,ChIJiejhhbDI3xQRlH6-0Zix_vw,False,,,,,,,
Sotira ,Σωτήρα ,Sotira,5474,2761,2713,Αμμοχώστου,True,35.0284699,33.9513191,ChIJ6-3Wew3P3xQR2ZIpR6oQHH0,False,,,,,,,
Liopetri,Λιοπέτρι,Liopetri,4591,2276,2315,Αμμοχώστου,True,35.0096685,33.8929049,ChIJxwJgg__N3xQRZAHKR0V5Cp4,False,,,,,,,
Frenaros,Φρέναρος,Frenaros,4298,2119,2179,Αμμοχώστου,True,35.0432562,33.924892,ChIJJ1dAX-_O3xQRa4h_7SjjH8g,False,,,,,,,
Aygorou,Αυγόρου,Avgorou,4604,2300,2304,Αμμοχώστου,True,35.0370977,33.8401219,ChIJayulWQrN3xQRdL-fqV0siVo,False,,,,,,,
Achna,Άχνα,Dasaki Achnas,2087,1051,1036,Αμμοχώστου,True,35.0728291,33.825531,ChIJEfGqsrEy3hQR9S8OV6Sf2X0,False,,,,,,,
Acheritou,Αχερίτου,Vrysoules,1556,744,812,Αμμοχώστου,True,35.0732134,33.871748,ChIJ-3bvKvzL3xQRZiFfvsvFLTM,False,,,,,,,
Larnaka,Λάρνακα,Larnaka,51468,24613,26855,Λάρνακας,True,34.9182222,33.6200625,ChIJE8tAbKGC4BQRpdBxEyLwy08,True,,,,,,,
Aradippou,Αραδίππου,Aradip,19228,9554,9674,Λάρνακας,True,34.9521888,33.5908529,ChIJ3Qh9XZIn3hQRXyQfEHpuVVQ,True,,,,,,,
Livadia,Λιβάδια,Livadia,7206,3521,3685,Λάρνακας,True,34.9490765,33.6275272,ChIJc16ZWGUo3hQRhM9yVc4utl0,False,,,,,,,
Dromolaxia,Δρομολαξιά,Mormenekşe,5064,2462,2602,Λάρνακας,True,34.8761451,33.5857563,ChIJ-SwF-PGc4BQR-b33EcjjzIE,False,,,,,,,
Meneou,Μενεού,Menevi,1625,801,824,Λάρνακας,True,34.8618571,33.5954577,ChIJzRsWkZmc4BQRI6XabNUSikw,False,,,,,,,
Kellia,Κελλιά,Yıldırım,387,187,200,Λάρνακας,True,34.9769024,33.6233665,ChIJTYIVkZwo3hQRZYA93QHzGLQ,False,,,,,,,
Troulloi,Τρούλλοι,Troulloi,1175,606,569,Λάρνακας,True,35.0150309,33.6216611,ChIJZyCu0Xgv3hQRatZghn44NnA,False,,,,,,,
Oroklini  ,Ορόκληνη  ,Oroklini,6134,3052,3082,Λάρνακας,True,34.9828802,33.6558907,ChIJ_2PZZNoo3hQRKxiKfJKtI8g,False,,,,,,,
Avdellero,Αβδελλερό,Avdeler,218,102,116,Λάρνακας,True,35.0101559,33.5693912,ChIJc-hzgYgm3hQRn1vw1UZ9uFA,False,,,,,,,
Pyla,Πύλα,Pile,2771,1402,1369,Λάρνακας,True,35.0134077,33.6922186,ChIJPZiA7ZEu3hQRWvpMYkNkR4o,False,,,,,,,
Xylotymvou,Ξυλοτύμβου,Xylotymvou,3655,1840,1815,Λάρνακας,True,35.0153362,33.7407024,ChIJtb5OMact3hQRKT5hFPpoz6Y,False,,,,,,,
Ormideia,Ορμίδεια,Ormideia,4189,2026,2163,Λάρνακας,True,34.9923198,33.7791944,ChIJv107r9gs3hQRae-NlJanL0o,False,,,,,,,
Xylofagou,Ξυλοφάγου,Xylofagou,6231,3057,3174,Λάρνακας,True,34.9761878,33.8487527,ChIJVz9cA1LS3xQRmEie9TECWYU,False,,,,,,,
Pergamos,Πέργαμος,Beyarmudu,193,99,94,Λάρνακας,True,35.0486587,33.6958809,ChIJg1TRneIt3hQR8NVvavMgv4s,False,,,,,,,
Kiti,Κίτι,Çite,4252,2054,2198,Λάρνακας,True,34.8464781,33.5727305,ChIJT8WFAgWb4BQRO4617z6zi3o,False,,,,,,,
Perivolia ,Περιβόλια ,Bahçalar,3009,1531,1478,Λάρνακας,True,34.828698,33.5798536,ChIJ65hmAAab4BQR1ZJffakT_Jc,False,,,,,,,
Tersefanou,Τερσεφάνου,Tersefanou,1299,663,636,Λάρνακας,True,34.8548144,33.5468888,ChIJ71No6-ub4BQR4wnlFQKLSng,False,,,,,,,
Softades,Σοφτάδες,Softalar,62,29,33,Λάρνακας,True,34.8336242,33.5481414,ChIJ7ajrJbab4BQRjnfOt9HO5Dc,False,,,,,,,
Mazotos,Μαζωτός,Mazotos,832,388,444,Λάρνακας,True,34.8038652,33.4872724,ChIJbdCzy3uX4BQR1Ubwz8yA4Mc,False,,,,,,,
Alaminos,Αλαμινός,Alaminyo,345,174,171,Λάρνακας,True,34.8070417,33.4335814,ChIJC_P7EF694BQRhaf9anYsMFo,False,,,,,,,
Anafotida,Αναφωτίδα,Akkor,790,390,400,Λάρνακας,True,34.8246869,33.4633383,ChIJ86nPtCOY4BQRoyEMxzPe9ns,False,,,,,,,
Aplanta,Απλάντα,Aplanta Çiftlik,6,6,0,Λάρνακας,True,34.8290869,33.4743605,ChIJQfzAQTGY4BQRkQ4BdCuXQt4,False,,,,,,,
Kivisili,Κιβισίλι,Cevizli,233,117,116,Λάρνακας,True,34.8397473,33.5058046,ChIJGy9F_aGZ4BQRnNlwKZv3jnM,False,,,,,,,
Alethriko,Αλεθρικό,Alethriko,1101,538,563,Λάρνακας,True,34.8581994,33.4948446,ChIJF1jkgBqZ4BQR43ImyeQcMrg,False,,,,,,,
Klavdia,Κλαυδιά,Alaniçi,427,205,222,Λάρνακας,True,34.8933791,33.51483,ChIJ0Qss47qe4BQRwQgxteCeyfM,False,,,,,,,
Agglisides,Αγγλισίδες,Aksu,1146,588,558,Λάρνακας,True,34.8534791,33.4565974,ChIJdQLslmaY4BQRS1IjTpTS5Gs,False,,,,,,,
Menogeia,Μενόγεια,Ötüken,50,22,28,Λάρνακας,True,34.8438208,33.4407763,ChIJPSI24QqY4BQRSHSRfPPi8tQ,False,,,,,,,
Athienou,Αθιένου,Kiracıköy,5017,2462,2555,Λάρνακας,True,35.0617995,33.5399098,ChIJ0_D8YLsj3hQR5X0O5-iYOf4,False,,,,,,,
Kalo Chorio ,Καλό Χωριό ,Vuda,1518,752,766,Λάρνακας,True,34.9274852,33.5370018,ChIJdXChWNyd4BQRC1QpE75sJ7c,False,,,,,,,
