geo_code,town,population,male_population,female_population,district,is_dimos,lat,lon,gm_id,english_name,turkish_name
1424,Καλοπαναγιώτης,263,123,140,Λευκωσίας,False,34.9916085,32.8282406,ChIJH5IitbRE5xQRx_EQ88Pb4yc,Kalopanayiotis,Kalopanayiotis
1425,Γερακιές,75,27,48,Λευκωσίας,False,35.0003791,32.8051677,ChIJIeZSKV5D5xQR2Pt-N2n4wGc,Gerakies,Gerakies
1426,Τσακίστρα,79,42,37,Λευκωσίας,False,35.0246263,32.7225721,ChIJ-Zqg8KFC5xQR7q6fHv0_2MI,Tsakistra,Tsakistra
1427,Κάμπος,271,114,157,Λευκωσίας,False,35.0392022,32.7324144,ChIJ_fxPGbNC5xQRbzhxDfpTAY8,Kampos,Kampos
1456,Πάνω Πύργος,22,11,11,Λευκωσίας,False,35.1556574,32.6829413,ChIJ--EZiedg5xQRiTqvxtHVpoA,Pano Pyrgos,Pano Pyrgos
1457,Κάτω Πύργος,1036,516,520,Λευκωσίας,False,35.1813827,32.6856272,ChIJ-3ELgVpg5xQRkwqhdn7ExR4,Kato Pyrgos,Kato Pyrgos
1460,Πηγένια,107,52,55,Λευκωσίας,False,35.1710158,32.656798,ChIJs7J6ZRFh5xQRZCniW2vxMyo,Pigenia,Pigenia
1461,Παχύαμμος,70,35,35,Λευκωσίας,False,35.1707749,32.584818,ChIJJ8yTb4Jj5xQRmAr-KsUsIkk,Pachyammos,Pachyammos
1467,Μανσούρα,9,4,5,Λευκωσίας,False,35.1869582,32.6360673,ChIJl8UxD3hh5xQR1dx_ol1VE0Q,Mansoura,Mansoura
1468,Μοσφίλι,20,6,14,Λευκωσίας,False,35.1810885,32.6311244,ChIJQctit3xh5xQR1YeeAwdTagk,Mosfili,Mosfili
3100,Αγία Νάπα,3212,1611,1601,Αμμοχώστου,False,34.9887366,34.0002782,ChIJWYKRp2jF3xQRQKqvnhksWJY,Ayia Napa,Ayia Napa
3101,Παραλίμνι,14963,7412,7551,Αμμοχώστου,False,35.0375882,33.9814728,ChIJN6Wo-2vE3xQR3F9Dv19dyqc,Paralimni,Paralimni
3102,Δερύνεια,5844,2914,2930,Αμμοχώστου,False,35.062854,33.960628,ChIJiejhhbDI3xQRlH6-0Zix_vw,Deryneia,Derinköy
3103,Σωτήρα Αμμοχώστου,5474,2761,2713,Αμμοχώστου,False,35.0284699,33.9513191,ChIJ6-3Wew3P3xQR2ZIpR6oQHH0,Sotira,Sotira
3104,Λιοπέτρι,4591,2276,2315,Αμμοχώστου,False,35.0096685,33.8929049,ChIJxwJgg__N3xQRZAHKR0V5Cp4,Liopetri,Liopetri
3105,Φρέναρος,4298,2119,2179,Αμμοχώστου,False,35.0432562,33.924892,ChIJJ1dAX-_O3xQRa4h_7SjjH8g,Frenaros,Frenaros
3110,Αυγόρου,4604,2300,2304,Αμμοχώστου,False,35.0370977,33.8401219,ChIJayulWQrN3xQRdL-fqV0siVo,Avgorou,Avgorou
3111,Άχνα,2087,1051,1036,Αμμοχώστου,False,35.0728291,33.825531,ChIJEfGqsrEy3hQR9S8OV6Sf2X0,Dasaki Achnas,Dasaki Achnas
3114,Αχερίτου,1556,744,812,Αμμοχώστου,False,35.0732134,33.871748,ChIJ-3bvKvzL3xQRZiFfvsvFLTM,Vrysoules,Vrysoules
4000,Λάρνακα,51468,24613,26855,Λάρνακας,True,34.9182222,33.6200625,ChIJE8tAbKGC4BQRpdBxEyLwy08,Larnaca,Larnaka
4010,Αραδίππου,19228,9554,9674,Λάρνακας,True,34.9521888,33.5908529,ChIJ3Qh9XZIn3hQRXyQfEHpuVVQ,Aradippou,Aradip
4011,Λιβάδια,7206,3521,3685,Λάρνακας,False,34.9490765,33.6275272,ChIJc16ZWGUo3hQRhM9yVc4utl0,Livadia,Livadia
4012,Δρομολαξιά,5064,2462,2602,Λάρνακας,False,34.8761451,33.5857563,ChIJ-SwF-PGc4BQR-b33EcjjzIE,Dromolaxia,Mormenekşe
4013,Μενεού,1625,801,824,Λάρνακας,False,34.8618571,33.5954577,ChIJzRsWkZmc4BQRI6XabNUSikw,Meneou,Menevi
4100,Κελλιά,387,187,200,Λάρνακας,False,34.9769024,33.6233665,ChIJTYIVkZwo3hQRZYA93QHzGLQ,Kellia,Yıldırım
4101,Τρούλλοι,1175,606,569,Λάρνακας,False,35.0150309,33.6216611,ChIJZyCu0Xgv3hQRatZghn44NnA,Troulloi,Troulloi
4102,Bορόκληνη (Ορόκληνη),6134,3052,3082,Λάρνακας,False,34.9828802,33.6558907,ChIJ_2PZZNoo3hQRKxiKfJKtI8g,Oroklini,Oroklini
4103,Αβδελλερό,218,102,116,Λάρνακας,False,35.0101559,33.5693912,ChIJc-hzgYgm3hQRn1vw1UZ9uFA,Avdellero,Avdeler
4104,Πύλα,2771,1402,1369,Λάρνακας,False,35.0134077,33.6922186,ChIJPZiA7ZEu3hQRWvpMYkNkR4o,Pyla,Pile
4105,Ξυλοτύμβου,3655,1840,1815,Λάρνακας,False,35.0153362,33.7407024,ChIJtb5OMact3hQRKT5hFPpoz6Y,Xylotymvou,Xylotymvou
4106,Ορμίδεια,4189,2026,2163,Λάρνακας,False,34.9923198,33.7791944,ChIJv107r9gs3hQRae-NlJanL0o,Ormideia,Ormideia
4107,Ξυλοφάγου,6231,3057,3174,Λάρνακας,False,34.9761878,33.8487527,ChIJVz9cA1LS3xQRmEie9TECWYU,Xylofagou,Xylofagou
4108,Πέργαμος,193,99,94,Λάρνακας,False,35.0486587,33.6958809,ChIJg1TRneIt3hQR8NVvavMgv4s,Pergamos,Beyarmudu
4110,Κίτι,4252,2054,2198,Λάρνακας,False,34.8464781,33.5727305,ChIJT8WFAgWb4BQRO4617z6zi3o,Kiti,Çite
4111,Περιβόλια Λάρνακας,3009,1531,1478,Λάρνακας,False,34.828698,33.5798536,ChIJ65hmAAab4BQR1ZJffakT_Jc,Perivolia,Bahçalar
4112,Τερσεφάνου,1299,663,636,Λάρνακας,False,34.8548144,33.5468888,ChIJ71No6-ub4BQR4wnlFQKLSng,Tersefanou,Tersefanou
4113,Σοφτάδες,62,29,33,Λάρνακας,False,34.8336242,33.5481414,ChIJ7ajrJbab4BQRjnfOt9HO5Dc,Softades,Softalar
4120,Μαζωτός,832,388,444,Λάρνακας,False,34.8038652,33.4872724,ChIJbdCzy3uX4BQR1Ubwz8yA4Mc,Mazotos,Mazotos
4121,Αλαμινός,345,174,171,Λάρνακας,False,34.8070417,33.4335814,ChIJC_P7EF694BQRhaf9anYsMFo,Alaminos,Alaminyo
4122,Αναφωτίδα,790,390,400,Λάρνακας,False,34.8246869,33.4633383,ChIJ86nPtCOY4BQRoyEMxzPe9ns,Anafotia,Akkor
4123,Απλάντα,6,6,0,Λάρνακας,False,34.8290869,33.4743605,ChIJQfzAQTGY4BQRkQ4BdCuXQt4,Aplanda,Aplanta Çiftlik
4124,Κιβισίλι,233,117,116,Λάρνακας,False,34.8397473,33.5058046,ChIJGy9F_aGZ4BQRnNlwKZv3jnM,Kivisili,Cevizli
4125,Αλεθρικό,1101,538,563,Λάρνακας,False,34.8581994,33.4948446,ChIJF1jkgBqZ4BQR43ImyeQcMrg,Alethriko,Alethriko
4126,Κλαυδιά,427,205,222,Λάρνακας,False,34.8933791,33.51483,ChIJ0Qss47qe4BQRwQgxteCeyfM,Klavdia,Alaniçi
4127,Αγγλισίδες,1146,588,558,Λάρνακας,False,34.8534791,33.4565974,ChIJdQLslmaY4BQRS1IjTpTS5Gs,Anglisides,Aksu
4128,Μενόγεια,50,22,28,Λάρνακας,False,34.8438208,33.4407763,ChIJPSI24QqY4BQRSHSRfPPi8tQ,Menogeia,Ötüken
4202,Αθιένου,5017,2462,2555,Λάρνακας,False,35.0617995,33.5399098,ChIJ0_D8YLsj3hQR5X0O5-iYOf4,Athienou,Kiracıköy
4210,Καλό Χωριό Λάρνακας,1518,752,766,Λάρνακας,False,34.9274852,33.5370018,ChIJdXChWNyd4BQRC1QpE75sJ7c,Kalo Chorio,Vuda
4211,Αγία Άννα,339,170,169,Λάρνακας,False,34.9431755,33.4815517,ChIJH7l61bKf4BQRwUfZJ2eoH4A,Agia Anna,Akhisar
4212,Μοσφιλωτή,1365,674,691,Λάρνακας,False,34.9506826,33.4287225,ChIJKZtnKTKg4BQRt_8G2KyJKXY,Mosfiloti,Mosfiloti
4213,Ψευδάς,1261,622,639,Λάρνακας,False,34.9512771,33.4631238,ChIJrUi_Y76f4BQRE_d3VJ-Tunc,Psevdas,Psevdas
4214,Πυργά (τα) Λάρνακας,812,422,390,Λάρνακας,False,34.9260101,33.4313872,ChIJZ656Ad6h4BQR22S-oL-2Z8c,Pyrga,Çamlıbel
4215,Κόρνος,2083,1060,1023,Λάρνακας,False,34.9225644,33.3964523,ChIJO812fXyh4BQR1021AIz_ZXg,Kornos,Kornos
4216,Δελίκηπος,23,12,11,Λάρνακας,False,34.9159428,33.3620252,ChIJ8bU0kO-j4BQRgWifmidfcng,Delikipos,Delikipos
4300,Ζύγι,589,311,278,Λάρνακας,False,34.7276131,33.3349628,ChIJwd7x5Cq54BQRGVuCeaCbB4w,Zygi,Terazi
4301,Μαρί,158,83,75,Λάρνακας,False,34.7414054,33.2989795,ChIJ-xCz6Fy44BQRIRYbnbHr57o,Mari,Tatlısu
4302,Καλαβασός,737,371,366,Λάρνακας,False,34.7724293,33.2959772,ChIJLzhUjpi54BQR8E2k0IK2zt8,Kalavasos,Kalavasos
4303,Τόχνη,424,208,216,Λάρνακας,False,34.7819948,33.3231306,ChIJTQuxsmG54BQRg9eC_1ufnfk,Tochni,Taşkent
4304,Χοιροκoιτία,632,310,322,Λάρνακας,False,34.7966222,33.33558,ChIJlxi7bu274BQRGH-WXPSjt0A,Choirokoitia,Choirokoitia
4305,Ψεματισμένος,271,130,141,Λάρνακας,False,34.7676625,33.3461719,ChIJAUk_cFK54BQRlvyG5SQ_B2w,Psematismenos,Yalancıköy
4306,Μαρώνι,710,354,356,Λάρνακας,False,34.7572546,33.3573334,ChIJLaRzyba-4BQRCxyPX3rVA0A,Maroni,Maroni
4307,Άγιος Θεόδωρος Λάρνακας,663,332,331,Λάρνακας,False,34.7987765,33.3836411,ChIJNbatE1e84BQR5N8OMs3CdyQ,Agios Theodoros,Aytotoro
4308,Σκαρίνου,393,192,201,Λάρνακας,False,34.8214575,33.3590151,ChIJtYl7yYS84BQR7nmLOUd4IzE,Skarinou,Skarinou
4309,Κοφίνου,1312,721,591,Λάρνακας,False,34.8256084,33.3893174,ChIJ7cYTz9i84BQRubn919vI_vE,Kofinou,Geçitkale
4310,Κάτω Λεύκαρα,128,60,68,Λάρνακας,False,34.8633533,33.3146816,ChIJSzfsujK74BQRF0j1oYNHrHE,Kato Lefkara,Aşağı Lefkara
