geo_code,town,population,male_population,female_population,district,is_dimos
5140,Διερώνα,192,103,89,Λεμεσού,False
5141,Αρακαπάς,307,146,161,Λεμεσού,False
5142,Άγιος Παύλος,135,68,67,Λεμεσού,False
5143,Άγιος Κωνσταντίνος,137,69,68,Λεμεσού,False
5144,Συκόπετρα,120,60,60,Λεμεσού,False
5145,Λουβαράς,363,185,178,Λεμεσού,False
5146,Καλό Χωριό Λεμεσού,497,242,255,Λεμεσού,False
5147,Ζωοπηγή,140,69,71,Λεμεσού,False
5200,Ακρωτήρι,870,427,443,Λεμεσού,False
5201,Ασώματος Λεμεσού,726,361,365,Λεμεσού,False
5202,Τσερκέζοι,50,29,21,Λεμεσού,False
5203,Τραχώνι Λεμεσού,3952,1961,1991,Λεμεσού,False
5210,Κολόσσι,5651,2789,2862,Λεμεσού,False
5211,Ερήμη,2432,1178,1254,Λεμεσού,False
5212,Επισκοπή Λεμεσού,3681,1779,1902,Λεμεσού,False
5213,Καντού,349,166,183,Λεμεσού,False
5214,Σωτήρα Λεμεσού,143,72,71,Λεμεσού,False
5220,Πραστιό Αυδήμου,245,106,139,Λεμεσού,False
5221,Παραμάλι,220,110,110,Λεμεσού,False
5222,Αυδήμου,535,259,276,Λεμεσού,False
5223,Πλατανίστεια,45,22,23,Λεμεσού,False
5224,Άγιος Θωμάς,50,23,27,Λεμεσού,False
5225,Αλέκτορα,64,36,28,Λεμεσού,False
5226,Ανώγυρα,301,141,160,Λεμεσού,False
5227,Πισσούρι,1819,922,897,Λεμεσού,False
5300,Σούνι-Ζανακιά,837,420,417,Λεμεσού,False
5302,Άλασσα,282,132,150,Λεμεσού,False
5303,Κάτω Κιβίδες,5,3,2,Λεμεσού,False
5304,Πάνω Κιβίδες,707,352,355,Λεμεσού,False
5305,Άγιος Αμβρόσιος Λεμεσού,323,149,174,Λεμεσού,False
5306,Άγιος Θεράπων,125,57,68,Λεμεσού,False
5307,Λόφου,46,25,21,Λεμεσού,False
5308,Πάχνα,865,420,445,Λεμεσού,False
5310,Άγιος Γεώργιος Λεμεσού,111,54,57,Λεμεσού,False
5311,Δωρός,135,56,79,Λεμεσού,False
5312,Λάνεια,281,142,139,Λεμεσού,False
5313,Σιλίκου,137,61,76,Λεμεσού,False
5314,Μονάγρι,175,72,103,Λεμεσού,False
5315,Τριμήκληνη,307,142,165,Λεμεσού,False
5316,Άγιος Μάμας,114,40,74,Λεμεσού,False
5317,Κουκά,27,14,13,Λεμεσού,False
5318,Μονιάτης,275,126,149,Λεμεσού,False
5320,Δωρά,145,68,77,Λεμεσού,False
5322,Άρσος Λεμεσού,202,86,116,Λεμεσού,False
5323,Κισσούσα,6,3,3,Λεμεσού,False
5324,Μαλιά,64,32,32,Λεμεσού,False
5325,Βάσα Κοιλανίου,163,82,81,Λεμεσού,False
5326,Βουνί,149,72,77,Λεμεσού,False
5327,Πέρα Πεδί,120,59,61,Λεμεσού,False
5328,Μανδριά Λεμεσού,107,50,57,Λεμεσού,False
5329,Ποταμιού,36,14,22,Λεμεσού,False
5330,Όμοδος,322,148,174,Λεμεσού,False
5331,Κοιλάνι,216,91,125,Λεμεσού,False
5340,Άγιος Δημήτριος,54,15,39,Λεμεσού,False
5341,Παλαιόμυλος,20,7,13,Λεμεσού,False
5342,Πρόδρομος,123,53,70,Λεμεσού,False
5343,Καμινάρια,44,19,25,Λεμεσού,False
5344,Τρεις Ελιές,25,11,14,Λεμεσού,False
5345,Λεμίθου,88,38,50,Λεμεσού,False
5350,Κάτω Πλάτρες (Toρνάρηδες),148,68,80,Λεμεσού,False
5351,Πάνω Πλάτρες,239,109,130,Λεμεσού,False
5352,Φοινί,391,173,218,Λεμεσού,False
5355,Αμίαντος,228,114,114,Λεμεσού,False
5360,Άγιος Θεόδωρος Λεμεσού,65,31,34,Λεμεσού,False
5361,Άγιος Ιωάννης Λεμεσού,339,166,173,Λεμεσού,False
5362,Κάτω Μύλος,50,23,27,Λεμεσού,False
5363,Ποταμίτισσα,62,28,34,Λεμεσού,False
5364,Δύμες,165,81,84,Λεμεσού,False
5365,Πελένδρι,1074,528,546,Λεμεσού,False
5366,Αγρός,806,403,403,Λεμεσού,False
5367,Αγρίδια,104,48,56,Λεμεσού,False
5368,Χανδριά,162,75,87,Λεμεσού,False
5369,Κυπερούντα,1516,737,779,Λεμεσού,False
6000,Πάφος,32892,16204,16688,Πάφου,True
6010,Γεροσκήπου,7878,3904,3974,Πάφου,True
6011,Κονιά,2209,1094,1115,Πάφου,False
6012,Αγία Μαρινούδα,266,139,127,Πάφου,False
6014,Αχέλεια,145,78,67,Πάφου,False
6020,Χλώρακας,5356,2673,2683,Πάφου,False
6021,Λέμπα,506,235,271,Πάφου,False
6022,Έμπα,4855,2454,2401,Πάφου,False
6023,Τρεμιθούσα,1041,528,513,Πάφου,False
6024,Μέσα Χωριό,586,297,289,Πάφου,False
6025,Μεσόγη,1689,834,855,Πάφου,False
6026,Τάλα,2695,1315,1380,Πάφου,False
6027,Κισσόνεργα,2004,993,1011,Πάφου,False
6100,Κούκλια Πάφου,892,432,460,Πάφου,False
6101,Μανδριά Πάφου,893,456,437,Πάφου,False
6102,Νικόκλεια,121,52,69,Πάφου,False
