town,district,lat,lon,gm_id
AYGÜN,İskele,35.2587458,33.8801952,ChIJz0sKlpSz3xQRfqCrh0TGdtE
BOĞAZ,İskele,35.1968015,33.8913539,ChIJX5JkU8213xQRzoBtqIJxpqA
BOĞAZİÇİ,İskele,35.1968015,33.8913539,ChIJX5JkU8213xQRzoBtqIJxpqA
BOĞAZTEPE,İskele,,,
CEVİZLİ,İskele,,,
ERGAZİ,İskele,35.3771934,33.9359756,ChIJQ1UAPi-v3xQR1V4TY1l3_68
KALECİK,İskele,35.3338704,33.9805756,ChIJ8Ue0K8Ol3xQRBAocAhcv6Ys
KURTULUŞ,İskele,35.3522187,33.9610657,ChIJh8Yz8E-v3xQRvTvUBpX0qFs
KUZUCUK,İskele,35.2366033,33.8578735,ChIJ_ZP9CnS03xQRzYR6mME076Y
ÖTÜKEN,İskele,35.2359621,33.882985,ChIJ57M9VAi03xQRtd2YBqUErx4
SINIRÜSTÜ,İskele,35.2852727,33.8578735,ChIJJwpkVKWz3xQRkigOcbpOlh8
TOPÇUKÖY,İskele,35.3339151,33.8578735,ChIJffxtwMSt3xQRk3m4vey4iDQ
TURNALAR,İskele,35.3515836,33.9248222,ChIJSzXsUtyu3xQR1VXj5GR6kdU
YARKÖY,İskele,35.3286036,33.9359756,ChIJrdCyc1Ou3xQRxHhmQxG1Cfk
BÜYÜKKONUK,İskele,35.4243568,33.986149,ChIJNXgAoeqn3xQRQyZwR32q9Bc
KAPLICA,İskele,35.4134201,33.9136675,ChIJfR7-IQip3xQRY1J_oXkCTf4
KİLİTKAYA,İskele,35.3895332,33.9582783,ChIJKaLbloGo3xQRiI0jnDWioi0
MERSİNLİK,İskele,35.3922503,33.8578735,ChIJj1VTB3as3xQRMg9DvvjtqCs
SAZLIKÖY,İskele,,,
TUZLUCA,İskele,35.3594694,33.9917222,ChIJEW9CzxKm3xQRo5ptbTi1y_0
YEDİKONUK,İskele,35.4489622,34.0307246,ChIJD8EXgbAJ3xQRV86efYs1Lyg
ZEYBEKKÖY,İskele,35.386124,34.0223683,ChIJWxKL7aun3xQRGTaHKC59KNg
MEHMETÇİK,İskele,35.415337,34.0752783,ChIJz4xBRhkK3xQRmThc7yJ3-xA
BAFRA,İskele,35.3734501,34.0697103,ChIJo133OM6g3xQR4lp7rm3fOrY
BALALAN,İskele,35.4827208,34.0919803,ChIJX5IB3X0M3xQRnOGYt_iti0I
ÇAYIROVA,İskele,35.3519049,34.0307246,ChIJISBzmemm3xQRbHjlmIap3DY
KUMYALI,İskele,35.4235636,34.1253751,ChIJYXp-AiAL3xQRtoMhux70cfw
PAMUKLU,İskele,35.3926183,34.0780622,ChIJc-oXFqWg3xQRFdJRKq-xF_U
KANTARA,İskele,,,
ERSİN PAŞA,İskele,,,
KALEBURNU,İskele,35.521343,34.3032719,ChIJO9rzvaZv3xQR3bJFs5MUGq8
POLAT PAŞA,İskele,,,
SANCAR PAŞA,İskele,,,
YENİ ERENKÖY,İskele,35.5347254,34.1865669,ChIJx9sAZHNt3xQR7rlOtL4guiY
ADAÇAY,İskele,35.5066918,34.2060283,ChIJLdStg31y3xQRDkjvMJyd_oA
